Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
QE20150928-23	EtOH_Kin3KO_Ub	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		3491	22170	0	25098	19092	0	6006	4396	4323	0	73	17.52	22.64	NaN	1.22	3418	389167	19547	5.02	1614	8.26	63272	15914	15329	25.15	35.08	2476	15.56	+	0.50138	0.70743	0.3498	0.53782	
QE20150928-24	EtOH_Kin3KO_WCL	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		4156	27868	0	30914	24486	0	6428	8470	8298	0	172	27.4	33.89	NaN	2.68	6621	479548	24922	5.2	1849	7.42	84838	20977	19953	24.73	36.44	2967	14.14	+	0.41667	0.59326	0.30126	0.45624	
QE20150928-34	Shmoo_CaCl2_Ub	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		3405	24032	0	27074	20840	0	6234	4793	4697	0	96	17.7	22.54	NaN	1.54	3693	388167	21427	5.52	1639	7.65	65416	17538	16899	26.81	36.87	2605	14.85	+	0.48645	0.69501	0.35577	0.54996	
QE20150928-35	Shmoo_CaCl2_WCL	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		4462	23960	0	27511	20315	0	7196	6186	6035	0	151	22.49	29.71	NaN	2.1	4800	445067	21043	4.73	1827	8.68	74069	17051	16041	23.02	36.51	2674	15.68	+	0.45616	0.65044	0.33494	0.50671	
QE20150928-37	Pynd_AlkKO_Ub	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7645	3909	0	4596	3218	0	1378	1202	1198	0	4	26.15	37.23	NaN	0.29	686	255338	3260	1.28	472	14.48	16857	2190	2101	12.99	37.21	781	35.66	+	0.33603	0.48207	0.28391	0.44151	
QE20150928-38	Pynd_AlkKO_WCL	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		4085	28521	0	31923	25097	0	6826	8150	8002	0	148	25.53	31.88	NaN	2.17	6187	456745	25659	5.62	1901	7.41	84656	21434	20391	25.32	38.03	3015	14.07	+	0.42224	0.60353	0.31554	0.48422	
QE20150928-40	Pynd_5FC_Ub	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		3513	21751	0	24935	18451	0	6484	3433	3378	0	55	13.77	18.31	NaN	0.85	2596	352623	19240	5.46	1516	7.88	56246	15224	14645	27.07	37.59	2540	16.68	+	0.46868	0.642	0.3318	0.48504	
QE20150928-41	Pynd_5FC_WCL	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9330	4455	0	6204	2706	0	3498	146	128	0	18	2.35	4.73	NaN	0.51	104	430845	3132	0.73	718	22.92	19194	1710	1465	8.91	16.91	603	35.26	+	0.28208	0.33693	0.13506	0.16904	
QE20150928-43	Shmoo_Cmk1KO_Ub	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		3331	23757	0	26864	20642	0	6222	4575	4482	0	93	17.03	21.71	NaN	1.49	3359	402145	21045	5.23	1691	8.04	66854	17127	16472	25.62	36.58	2693	15.72	+	0.46711	0.65441	0.35102	0.54552	
QE20150928-44	Shmoo_Cmk1KO_UbP	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)			False	False	1	2		Standard		3276	23958	0	28829	19077	0	9752	3115	3072	0	43	10.81	16.1	NaN	0.44	1892	345677	20029	5.79	2419	12.08	44222	13900	13544	31.43	40.79	3616	26.01	+	0.44794	0.62433	0.366	0.5485	
