id	Peptide IDs	Mod. Peptide IDs	Evidence IDs	MS/MS IDs	Oxidation (M) Site IDs	Phospho (STY) Site IDs	Oxidation (M) Site Positions	Phospho (STY) Site Positions	Protein IDs	Majority Protein IDs	Peptide Counts (all)	Peptide Counts (razor+unique)	Peptide Counts (unique)	Protein Names	Gene Names	Protein Descriptions	Proteins	Peptides	Razor + unique Peptides	Unique Peptides	Peptides MAPK1_E322K	Peptides MAPK1_WT	Razor + unique Peptides MAPK1_E322K	Razor + unique Peptides MAPK1_WT	Unique Peptides MAPK1_E322K	Unique Peptides MAPK1_WT	Sequence Coverage [%]	Unique + Razor Sequence Coverage [%]	Unique Sequence Coverage [%]	Mol. Weight [kDa]	Sequence Length	Experiment MAPK1_E322K	Experiment MAPK1_WT	PEP	Sequence Coverage MAPK1_E322K [%]	Sequence Coverage MAPK1_WT [%]	Intensity	Intensity MAPK1_E322K	Intensity MAPK1_WT	iBAQ	iBAQ MAPK1_E322K	iBAQ MAPK1_WT	LFQ Intensity MAPK1_E322K	LFQ Intensity MAPK1_WT	MS/MS Count MAPK1_E322K	MS/MS Count MAPK1_WT	Only identified by site	Reverse	Contaminant
0	1087;1117;1350	1131;1163;1397	2562;2563;2626;2627;3176;3177	2180;2230;2726		0;1;2		618;631;741	A1L390	A1L390	3	3	3	Pleckstrin homology domain-containing family G member 3	KIAA0599;PLEKHG3	>A1L390|PKHG3_HUMAN Pleckstrin homology domain-containing family G member 3 |Homo sapiens	1	3	3	3	3	3	3	3	3	3	2.3	2.3	2.3	134.41	1219	3	3	0.00036178	2.3	2.3	0	0	0	0	0	0	0	0	0	0			
1	397	415	926	779		3		112	A6NFI3	A6NFI3	1	1	1	Zinc finger protein 316	ZNF316	>A6NFI3|ZN316_HUMAN Zinc finger protein 316 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	1.2	1.2	1.2	108.44	1004		1	0.024608	0	1.2	0	0	0	0	0	0	0	0	0	0			
2	653;1396;1485	682;1444;1534	1536;1537;1538;3281;3282;3471	1321;1322;2808;2979		4;1313		18;19	A6NMY6;P07355	A6NMY6;P07355	3;3	3;3	3;3	Annexin A2 pseudogene 2;Lipocortin II pseudogene;Putative annexin A2-like protein;Annexin A2;Annexin II;Annexin-2;Calpactin I heavy chain;Calpactin-1 heavy chain;Chromobindin-8;Lipocortin II;p36;Placental anticoagulant protein IV;Protein I	ANX2L2;ANX2P2;ANXA2P2;LPC2B;ANX2;ANX2L4;ANXA2;CAL1H;LPC2D	>A6NMY6|AXA2L_HUMAN Putative annexin A2-like protein |Homo sapiens;>P07355|ANXA2_HUMAN Annexin A2 |Homo sapiens	2	3	3	3	2	3	2	3	2	3	11.2	11.2	11.2	38.659	339	3	3	2.0484E-06	8	11.2	409500	42157	367340	17804	1832.9	15971	0	367340	0	1			
3	1638	1693	3811;3812	3259		5		892	A7KAX9	A7KAX9	1	1	1	Brain-specific Rho GTPase-activating protein;GAB-associated Cdc42/Rac GTPase-activating protein;GC-GAP;GTPase regulator interacting with TrkA;p200RhoGAP;p250GAP;Rho GTPase-activating protein 32;Rho/Cdc42/Rac GTPase-activating protein RICS;RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling;Rho-type GTPase-activating protein 32	ARHGAP32;GRIT;KIAA0712;RICS	>A7KAX9|RHG32_HUMAN Rho GTPase-activating protein 32 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.4	0.4	0.4	230.53	2087	1	1	0.075654	0.4	0.4	0	0	0	0	0	0	0	0	0	0	+		
4	331	348	778;779	657					A8MW06;P62328	A8MW06;P62328	1;1	1;1	1;1	Thymosin beta-4-like protein 3;Fx;Hematopoietic system regulatory peptide;Seraspenide;Thymosin beta-4	TMSL3;TB4X;THYB4;TMSB4;TMSB4X	>A8MW06|TMSL3_HUMAN Thymosin beta-4-like protein 3 |Homo sapiens;>P62328|TYB4_HUMAN Thymosin beta-4 |Homo sapiens	2	1	1	1	1	1	1	1	1	1	27.3	27.3	27.3	5.0626	44	1	1	2.1723E-05	27.3	27.3	400710	20776	379930	100180	5193.9	94983	0	379930	0	1			
5	1525	1574	3568;3569	3051;3052		6		21	C9JLW8	C9JLW8	1	1	1	Protein FAM195B	FAM195B	>C9JLW8|F195B_HUMAN Protein FAM195B |Homo sapiens	1	1	1	1	1	1	1	1	1	1	23.7	23.7	23.7	10.92	97	1	1	0.013745	23.7	23.7	0	0	0	0	0	0	0	0	0	0			
6	31;359;375;395;1313	32;377;393;413;1360	71;72;73;839;840;874;875;876;923;924;3091;3092;3093;3094	54;55;707;732;733;777;2657;2658;2659;2660		7;8		21;36	CON__O95678;O95678;CON__Q8BGZ7	CON__O95678;O95678;CON__Q8BGZ7	5;5;4	2;2;1	2;2;1	Cytokeratin-75;Keratin, type II cytoskeletal 75;Keratin-6 hair follicle;Keratin-75;Type II keratin-K6hf;Type-II keratin Kb18;Cytokeratin KRT2-6HF	K6HF;KB18;KRT75;Kb18;Krt75;Krt2-6hf;Krtcap1	>O95678 SWISS-PROT:O95678 Tax_Id=9606 Gene_Symbol=KRT75 Keratin, type II cytoskeletal 75;>O95678|K2C75_HUMAN Keratin, type II cytoskeletal 75 |Homo sapiens;>Q8BGZ7 TREMBL:Q8BGZ7;Q99MH7 Tax_Id=10090 Gene_Symbol=Krt75 10 days neonate skin cDNA, RIKEN full-le	3	5	2	2	5	5	2	2	2	2	9.3	4	4	59.504	551	2	3	3.3256E-45	9.3	9.3	0	0	0	0	0	0	0	0	0	0			+
7	566;1548	587;1597;1598	1318;1319;1320;1321;1322;3620;3621;3622;3623	1104;1105;1106;1107;1108;1109;3094;3095;3096;3097		9		112	CON__P00761	CON__P00761	2	2	2			>P00761 SWISS-PROT:P00761|TRYP_PIG Trypsin - Sus scrofa (Pig).	1	2	2	2	2	2	2	2	2	2	12.1	12.1	12.1	24.409	231	4	5	1.9307E-85	12.1	12.1	47293000	2493500	44799000	3941100	207790	3733300	0	44799000	2	4			+
8	131;157;200;335;455;587;588;675;676;941;942;1021;1022;1446	138;164;209;352;474;608;609;610;611;706;707;983;984;985;1064;1065;1494	317;318;319;320;321;322;323;380;381;493;494;787;788;1056;1057;1369;1370;1371;1372;1373;1374;1375;1376;1377;1378;1379;1380;1381;1382;1383;1384;1385;1601;1602;1603;1604;1605;1606;2211;2212;2213;2214;2215;2216;2217;2218;2219;2220;2221;2222;2223;2224;2225;2226;2227;2228;2229;2230;2231;2232;2233;2234;2235;2236;2237;2238;2239;2240;2241;2242;2243;2413;2414;2415;2416;2417;2418;2419;3391;3392;3393	257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;326;425;674;886;887;1146;1147;1148;1149;1150;1151;1152;1153;1154;1155;1156;1157;1158;1159;1160;1161;1162;1163;1164;1165;1166;1167;1168;1169;1170;1381;1382;1383;1384;1385;1386;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2918;2919;2920	0	10;11;12;1314	14	13;39;362;435	CON__P02533;P02533;CON__Q61782;CON__Q3ZAW8;CON__Q9Z2K1	CON__P02533;P02533	14;14;3;2;2	14;14;3;2;2	6;6;2;0;0	Cytokeratin-14;Keratin, type I cytoskeletal 14;Keratin-14	KRT14	>P02533 SWISS-PROT:P02533 Tax_Id=9606 Gene_Symbol=KRT14 Keratin, type I cytoskeletal 14;>P02533|K1C14_HUMAN Keratin, type I cytoskeletal 14 |Homo sapiens	5	14	14	6	14	14	14	14	6	6	26.1	26.1	11.9	51.621	472	38	43	0	26.1	26.1	6211900	2855100	3356800	182700	83974	98730	3425900	8417000	2	3			+
9	31;82;83;359;391;392;460;654;1001;1002;1026;1200;1255;1256;1313;1319;1320;1651;1675;1676	32;85;86;87;377;409;410;479;683;1044;1045;1069;1246;1302;1303;1360;1366;1367;1706;1731;1732	71;72;73;190;191;192;193;194;195;196;197;198;199;200;201;839;840;910;911;912;913;914;915;916;917;918;1065;1066;1539;1540;1541;1542;1543;1544;1545;2365;2366;2367;2368;2369;2370;2371;2372;2373;2374;2375;2425;2426;2427;2428;2429;2814;2815;2816;2817;2818;2819;2820;2821;2822;2948;2949;2950;2951;2952;2953;2954;2955;2956;2957;2958;2959;2960;3091;3092;3093;3094;3106;3107;3108;3835;3836;3886;3887;3888;3889;3890;3891;3892	54;55;145;146;147;148;149;150;151;152;707;755;756;757;758;759;760;761;762;763;764;765;766;767;768;769;770;771;772;892;1323;1324;1325;1326;1327;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2080;2081;2082;2083;2399;2400;2401;2402;2403;2404;2405;2406;2407;2408;2409;2410;2411;2412;2413;2414;2415;2416;2417;2418;2526;2527;2528;2529;2530;2531;2532;2533;2534;2535;2536;2537;2538;2539;2540;2541;2542;2543;2544;2545;2546;2547;2548;2657;2658;2659;2660;2668;2669;2670;2671;2672;3278;3279;3321;3322;3323;3324;3325;3326		13;14;15;16;17;18;1315		22;37;58;71;540;541;554	CON__P02538;P02538;CON__P50446;CON__Q01546;Q01546;CON__P12035;P12035;CON__Q6ISB0;CON__Q9NSB2;Q9NSB2;CON__Q5XKE5;Q5XKE5;CON__Q8VED5;CON__P07744;CON__Q8N1N4-2;CON__Q7RTT2;Q8N1N4;CON__P78386;P78386;CON__Q14533;Q14533;CON__P78385;CON__Q6NT21;P78385;CON__O43790;O43790;CON__Q61726	CON__P02538;P02538	20;20;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	18;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	Cytokeratin-6A;Cytokeratin-6D;Keratin, type II cytoskeletal 6A;Keratin-6A;Type-II keratin Kb6	K6A;KRT6A;KRT6D	>P02538 SWISS-PROT:P02538 Tax_Id=9606 Gene_Symbol=KRT6A Keratin, type II cytoskeletal 6A;>P02538|K2C6A_HUMAN Keratin, type II cytoskeletal 6A |Homo sapiens	27	20	18	1	19	20	17	18	1	1	24.3	21.3	1.8	60.044	564	41	44	1.8394E-240	24.3	24.3	13960000	4557300	9402900	387780	126590	261190	14599000	8349500	4	2			+
